C[C@H](N)C(=O)O
NCC(=O)O
CC(C)[C@H](N)C(=O)O
CC(C)C[C@H](N)C(=O)O
N[C@@H](CO)C(=O)O
CC[C@H](C)[C@H](N)C(=O)O
C[C@@H](O)[C@H](N)C(=O)O
CSCC[C@H](N)C(=O)O
O=C(O)[C@@H]1CCCN1
N[C@@H](CS)C(=O)O
